Time (hr),Year,Month,Day,Hour,Temperature (K),Direct Flux (W/m2),Clear Direct Flux (W/m2),Zenith (deg from up),Azimuth (deg from north cw)
214.0,2019.0,3.0,15.0,22.0,275.54999999999995,0.0,0.0,118.11604939597952,293.7903115844565
215.0,2019.0,3.0,15.0,23.0,275.4111111111111,0.0,0.0,127.96837679561898,307.32203908690923
216.0,2019.0,3.0,16.0,0.0,275.2444444444444,0.0,0.0,135.94603336882304,324.47152811552337
217.0,2019.0,3.0,16.0,1.0,275.0611111111111,0.0,0.0,140.766016863685,345.9403089363367
218.0,2019.0,3.0,16.0,2.0,274.9,0.0,0.0,141.174274184921,9.848773833783412
219.0,2019.0,3.0,16.0,3.0,274.76111111111106,0.0,0.0,137.03976921616965,31.969294500970648
220.0,2019.0,3.0,16.0,4.0,274.6333333333333,0.0,0.0,129.50060047427198,49.85290180872036
221.0,2019.0,3.0,16.0,5.0,268.6722222222222,0.0,0.0,119.8907213360915,63.90565115798161
222.0,2019.0,3.0,16.0,6.0,268.01111111111106,0.0,0.0,109.1465683298119,75.43434477126085
223.0,2019.0,3.0,16.0,7.0,268.3722222222222,8.01,0.0,97.85126092591521,85.5983726408397
224.0,2019.0,3.0,16.0,8.0,272.3111111111111,155.75,106.63950670139718,86.20091798989574,95.30530274762611
225.0,2019.0,3.0,16.0,9.0,276.3611111111111,349.77,636.7285834373415,75.07358643487814,105.35019901727095
226.0,2019.0,3.0,16.0,10.0,280.0444444444444,524.21,817.5177636896818,64.40006192169247,116.5728124552222
227.0,2019.0,3.0,16.0,11.0,282.59999999999997,659.49,896.5203102361488,54.81916225302032,129.9732613645117
228.0,2019.0,3.0,16.0,12.0,283.6222222222222,747.6,935.1426108435348,47.17208555936737,146.6257317638751
229.0,2019.0,3.0,16.0,13.0,283.9,779.64,952.0086765269959,42.61678292087298,166.93849726362143
230.0,2019.0,3.0,16.0,14.0,283.7944444444444,755.61,953.3267780888796,42.21491762742681,189.23600621214553
231.0,2019.0,3.0,16.0,15.0,283.4333333333333,678.18,939.5406008595045,46.0779209863836,210.1117697771533
232.0,2019.0,3.0,16.0,16.0,282.79999999999995,550.02,905.7356449574377,53.25361684548524,227.4434265425122
233.0,2019.0,3.0,16.0,17.0,282.3722222222222,383.59,836.6367165260694,62.5501919480084,241.3658369718964
234.0,2019.0,3.0,16.0,18.0,281.1333333333333,190.46,681.9990468617717,73.06483618537108,252.91655844609147
235.0,2019.0,3.0,16.0,19.0,280.0333333333333,20.47,245.46335344595425,84.15636997532862,263.1277083274199
236.0,2019.0,3.0,16.0,20.0,279.2111111111111,0.0,0.0,95.7221313497137,272.8631346646263
237.0,2019.0,3.0,16.0,21.0,278.6944444444444,0.0,0.0,107.04348905212672,282.9158766928631
238.0,2019.0,3.0,16.0,22.0,278.3611111111111,0.0,0.0,117.88270439844034,294.16038749990713
239.0,2019.0,3.0,16.0,23.0,278.15,0.0,0.0,127.69714689568619,307.69692228808367
240.0,2019.0,3.0,17.0,0.0,277.9111111111111,0.0,0.0,135.62305126582433,324.8136596072419
241.0,2019.0,3.0,17.0,1.0,277.65,0.0,0.0,140.3907207145884,346.16525410289955
242.0,2019.0,3.0,17.0,2.0,277.4,0.0,0.0,140.77315107577584,9.879017115332857
243.0,2019.0,3.0,17.0,3.0,277.2333333333333,0.0,0.0,136.64937621377365,31.831621467468324
244.0,2019.0,3.0,17.0,4.0,277.09999999999997,0.0,0.0,129.1378240722745,49.63021598398416
245.0,2019.0,3.0,17.0,5.0,275.59444444444443,0.0,0.0,119.55386883263945,63.65382402975355
246.0,2019.0,3.0,17.0,6.0,275.4944444444444,0.0,0.0,108.82735527297986,75.17657236207339
247.0,2019.0,3.0,17.0,7.0,275.3611111111111,8.9,0.0,97.5405227288531,85.34157190524843
248.0,2019.0,3.0,17.0,8.0,277.5611111111111,161.09,126.0501504942547,85.90062006420573,95.05064069054045
249.0,2019.0,3.0,17.0,9.0,281.2944444444444,356.0,642.8084180020693,74.7548768026382,105.09878838831108
